Title,Novazza U-Ore
Elapsed,765
ROI,1,57,72,63.08,"X-Ray",78.00,220781,33461,8.31,13.17
ROI,2,294,310,304.06,"Pb-214",352.00,70156,4018,7.44,2.45
ROI,3,465,559,509.04,"Bi-214",609.00,154690,69475,43.32,8.51
ROI,4,816,919,869.21,"Bi-214",1120.00,61553,12049,42.89,4.93
DATA,5020,5181,5781,6590,6972,7023,6754,6345,6110,5831,5619,5544,5612,5644,5857,5788,5906,5977,6337,6482,6708,6496,6772,6668,6687,6724,6845,7057,7356,7636,8120,8592,9212,9731,9763,9891,10069,9829,9528,9547,9627,9700,9994,10374,10786,11238,11884,12625,13306,13684,14684,15549,15932,16240,16911,17794,18985,19683,20732,22594,24506,25829,27295,28218,27932,27785,27240,26121,24666,24234,22737,22387,22219,21524,21691,21675,21749,21776,21580,21408,20897,20187,19326,18701,17535,16525,15747,14908,14059,13453,13037,12497,12142,11952,11883,11802,11611,11264,11011,10973,10795,10729,10330,10094,9842,9906,9658,9748,9580,9633,9594,9593,9701,9548,9749,9855,9711,9977,10140,10170,10026,10222,10153,10485,10474,10725,10661,10711,10702,10733,10569,11035,10683,10779,10768,10589,10776,10747,10487,10439,10486,10342,10517,10447,10367,10371,10202,10245,10265,10223,10657,10530,10754,10821,11048,11300,11521,11517,11688,11958,11744,11940,12025,11953,11796,11620,11361,11023,10997,10686,10312,9991,9879,9590,9354,9008,8974,8696,8576,8375,8091,8161,8043,7777,7967,7832,7772,7603,7631,7621,7479,7635,7546,7517,7604,7532,7585,7709,7916,7879,7908,8055,8244,8243,8292,8432,8561,8453,8494,8288,8261,8405,8453,8222,8175,8157,7937,7832,7612,7656,7315,7375,7190,7070,6933,6867,6668,6717,6588,6575,6558,6396,6220,6366,6385,6396,6376,6338,6300,6533,6653,6637,6680,6780,7227,7317,7255,7466,7518,7640,7537,7787,7732,7851,7887,7713,7865,7764,7699,7430,7430,7364,7242,7117,6955,6691,6705,6492,6336,6107,5896,5848,5819,5495,5405,5396,5304,5188,5092,5064,5143,5367,5243,5174,5489,5405,5654,5861,6087,6036,6145,6539,6588,6777,6921,6949,7316,7212,7468,7487,7576,7542,7478,7530,7736,7593,7598,7396,7324,7265,7002,6929,6749,6562,6308,6199,5992,5798,5526,5436,5214,5002,4866,4568,4325,4164,4001,3870,3748,3575,3395,3411,3186,3159,2959,2895,2744,2749,2610,2604,2539,2476,2497,2354,2284,2231,2229,2118,2151,2107,2057,2022,2018,1949,2039,1921,1870,1851,1862,1863,1849,1723,1769,1755,1715,1650,1716,1742,1642,1743,1676,1672,1606,1558,1601,1538,1556,1608,1618,1576,1562,1478,1521,1494,1512,1516,1469,1574,1515,1471,1504,1493,1403,1440,1471,1482,1433,1483,1492,1414,1467,1411,1378,1441,1410,1446,1410,1344,1326,1437,1290,1345,1414,1317,1360,1390,1379,1392,1368,1366,1357,1311,1357,1310,1370,1297,1303,1282,1304,1297,1283,1268,1337,1257,1250,1311,1288,1315,1240,1218,1250,1231,1238,1215,1253,1214,1187,1174,1198,1191,1244,1194,1206,1213,1184,1148,1160,1154,1162,1165,1203,1222,1235,1137,1155,1215,1203,1180,1233,1276,1311,1350,1309,1326,1371,1387,1505,1448,1563,1530,1608,1690,1666,1742,1798,1871,1893,1965,2060,2043,2128,2208,2247,2342,2286,2446,2455,2448,2599,2547,2732,2698,2740,2722,2736,2747,2734,2801,2752,2840,2776,2803,2777,2841,2666,2707,2690,2619,2658,2613,2556,2469,2478,2425,2346,2316,2310,2265,2136,2159,2016,1974,1913,1820,1814,1823,1729,1702,1578,1604,1449,1462,1448,1363,1373,1299,1270,1251,1177,1138,1079,1116,1059,1047,1003,938,964,953,944,890,862,885,842,774,831,758,807,760,729,804,750,759,789,706,732,752,784,775,748,725,741,762,781,731,745,750,747,728,702,712,711,764,754,777,743,793,732,804,763,713,762,721,788,731,752,786,761,804,792,765,782,786,775,816,741,777,772,780,804,846,774,844,833,783,782,782,755,782,761,795,772,749,761,777,819,787,777,735,804,766,789,755,823,738,788,755,738,758,787,751,751,735,748,685,728,688,625,726,681,712,733,672,704,700,715,721,679,668,634,684,684,619,674,664,622,619,621,603,644,623,602,600,650,564,597,563,612,588,555,557,588,548,593,583,567,526,551,567,586,520,564,527,550,563,560,519,549,530,567,545,536,495,566,518,552,551,492,522,513,547,539,545,543,525,489,569,536,513,484,547,496,524,514,468,561,522,495,486,478,493,502,524,509,491,513,543,530,521,510,515,491,486,503,535,504,497,514,500,472,504,503,521,497,494,467,496,522,502,492,508,519,523,535,528,499,518,512,489,573,495,490,548,484,552,512,484,505,505,517,534,517,524,499,485,447,493,511,499,497,525,489,492,491,467,519,481,509,495,492,458,504,469,530,482,503,493,483,480,434,451,460,488,481,522,471,492,462,502,527,507,515,500,546,516,535,556,540,539,578,546,582,583,625,569,623,658,649,614,636,621,605,647,686,717,653,730,698,717,752,745,704,765,765,738,774,754,687,738,727,781,758,788,769,748,694,737,754,715,702,726,708,752,728,739,697,717,636,640,660,676,653,650,650,679,619,628,620,626,572,546,578,598,549,586,556,545,553,506,570,539,522,545,538,537,523,547,540,464,458,502,542,505,483,511,514,487,493,515,496,504,484,485,492,506,538,468,502,502,518,489,492,491,476,499,477,435,506,461,469,474,492,441,478,462,481,493,472,475,492,450,474,470,499,491,548,542,492,505,502,520,504,531,526,554,534,560,545,546,580,576,597,563,616,579,628,668,604,639,635,632,705,648,679,655,583,651,612,574,641,641,632,574,624,610,620,587,621,599,614,597,583,571,545,554,532,586,522,547,533,532,518,168,0,0
