Title,LYSO 30 July 2025
Elapsed,12109
ROI,1,40,70,53.46,"Lu-176 Kx",0.00,69437,33679,11.13,20.82
ROI,2,183,235,206.58,"Lu-176",0.00,159726,108581,21.42,10.37
ROI,3,276,345,310.91,"Lu-176",0.00,141349,99909,30.70,9.87
DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,1291,1258,1165,1143,957,925,857,858,843,936,919,877,895,926,896,861,889,891,886,961,1010,996,1083,1143,1229,1268,1521,1748,2076,2258,2768,3169,3601,3613,3851,3836,3695,3595,3116,3019,2685,2485,2275,2074,2010,1809,1689,1607,1427,1404,1339,1328,1391,1339,1466,1450,1495,1553,1552,1517,1516,1465,1488,1400,1430,1448,1460,1439,1417,1422,1539,1449,1474,1359,1376,1282,1227,1129,1095,1020,991,984,895,928,911,900,876,987,979,975,1003,1020,1058,1030,1111,1124,1122,1172,1189,1247,1209,1232,1259,1256,1299,1335,1230,1266,1304,1330,1289,1321,1298,1319,1300,1337,1325,1328,1352,1348,1395,1346,1357,1473,1479,1443,1509,1524,1475,1506,1491,1579,1574,1531,1633,1568,1457,1486,1560,1488,1485,1560,1417,1512,1521,1482,1469,1401,1305,1314,1349,1340,1341,1295,1324,1343,1259,1288,1250,1256,1233,1260,1314,1293,1225,1306,1487,1522,1620,1774,1802,2004,2190,2436,2725,2905,3256,3541,3874,4027,4433,4667,4901,5148,5270,5552,5496,5690,5695,5615,5419,5273,5206,4924,4647,4325,4145,3778,3409,3254,2941,2577,2419,2183,2013,1788,1619,1472,1338,1200,1092,1024,953,903,837,771,712,694,671,702,608,626,627,574,586,573,576,600,600,577,526,571,573,557,553,655,580,567,599,588,659,594,592,604,670,602,658,642,620,649,661,701,641,677,698,715,715,720,772,772,805,877,875,929,995,1008,1067,1198,1279,1347,1486,1699,1718,1785,1968,2119,2211,2330,2526,2728,2916,2989,3052,3189,3317,3380,3378,3493,3594,3586,3628,3611,3692,3572,3599,3450,3426,3313,3229,3147,3068,2899,2697,2630,2498,2332,2246,2082,2002,1855,1714,1637,1503,1354,1236,1189,1091,1011,915,886,780,694,631,584,597,490,466,497,447,432,449,333,412,297,342,336,311,305,324,305,306,312,295,294,313,312,268,314,281,313,281,326,283,305,266,290,294,261,244,298,251,279,261,225,261,244,246,234,248,217,217,232,236,223,206,198,216,220,221,219,195,215,227,193,181,230,184,195,168,206,191,177,167,211,177,191,159,172,183,156,168,194,150,188,140,148,144,149,170,133,149,167,169,143,149,157,167,122,147,161,143,157,134,152,143,135,137,135,137,135,144,138,129,150,153,148,141,137,126,129,161,143,151,172,125,145,139,136,160,158,118,148,168,146,177,159,151,148,142,165,167,187,191,161,185,178,168,197,217,200,197,223,220,199,226,264,245,247,260,279,282,258,307,264,296,302,322,338,344,353,330,336,335,343,343,334,300,345,307,293,313,324,313,280,280,267,260,248,268,224,236,213,217,196,197,161,163,158,162,167,124,148,135,127,124,125,97,109,118,102,104,107,121,98,74,94,81,76,78,74,81,85,84,91,98,74,88,79,71,65,70,93,70,71,95,86,79,85,76,85,68,65,72,74,70,76,64,82,70,74,72,75,81,97,65,74,62,81,72,79,91,79,66,53,62,61,72,75,70,86,67,61,67,64,69,59,73,66,60,73,73,65,60,51,62,69,59,53,64,74,77,69,62,68,65,64,50,55,55,56,48,56,50,57,61,61,70,52,61,46,51,53,64,53,59,60,56,44,44,60,60,38,51,49,60,51,53,49,57,50,60,50,39,51,54,40,59,44,55,59,54,50,51,50,49,53,42,54,44,44,50,47,44,48,53,49,47,52,54,33,52,39,56,50,39,45,50,49,46,45,55,51,43,41,44,54,37,50,47,55,57,44,39,44,63,45,55,52,58,48,44,37,45,47,49,41,47,51,48,43,46,49,50,50,48,46,51,40,55,46,36,49,42,41,51,37,62,41,48,63,41,47,47,53,42,44,51,45,47,40,58,33,43,42,45,48,56,53,54,42,41,35,53,51,45,45,40,35,52,48,56,53,47,46,35,51,65,39,53,45,48,43,52,55,64,44,39,50,40,52,41,63,54,57,57,46,60,60,46,34,45,47,45,37,55,49,52,58,50,49,52,40,43,40,38,61,53,49,54,51,66,43,44,41,64,60,42,37,56,47,39,60,60,44,56,48,56,49,43,63,47,46,50,40,55,48,50,57,52,54,51,55,60,55,62,44,56,53,43,50,66,59,60,58,55,41,45,65,42,53,59,48,46,50,48,54,61,53,53,47,58,69,57,46,61,42,52,47,55,59,59,42,52,58,35,48,56,46,51,41,44,39,58,52,40,43,55,54,45,47,53,47,40,49,40,42,45,49,49,42,38,49,49,43,50,51,46,49,45,51,64,40,50,50,48,48,49,44,65,49,54,50,61,39,50,48,46,42,62,56,52,42,54,54,46,42,59,47,56,51,43,45,48,49,50,50,54,59,45,54,58,62,63,53,62,58,50,56,63,53,56,57,45,60,57,58,45,50,41,58,43,51,50,53,61,50,73,49,44,42,68,58,14,0,0
