Title,Pechblende from Novazza
Elapsed,7289
ROI,1,174,190,182.03,"Pb-214",352.00,895488,132996,10.60,5.82
ROI,2,302,318,311.69,"Bi-214",609.00,323502,27702,11.37,3.65
ROI,3,537,553,549.13,"Bi-214",1120.00,63377,724,3.16,0.58
DATA,37017,36325,37906,40451,43368,46684,48954,51144,53115,53088,52449,52830,53856,58713,65375,75111,82032,86436,84729,81012,78937,78849,82352,87501,96006,106623,117781,126266,133221,141178,154497,175809,203816,232336,249100,254503,242742,224438,204666,190727,183324,180528,179610,176751,169014,159717,145509,129598,112830,99483,88197,80431,76052,73448,71079,69399,67292,64724,62405,59436,58338,56754,56256,56123,56187,56913,57256,58729,59531,60901,62615,63928,65337,65775,66237,66270,66576,66634,65787,65279,64454,63954,63737,63120,62443,62585,63136,64558,65995,68884,71994,75705,77855,79790,80884,80993,79688,77875,73552,71065,67412,63628,59783,57091,54262,51946,50076,48603,47258,46158,45722,45220,44644,44832,45357,46457,47205,48087,49911,51305,52834,53909,55124,55652,55971,55649,54658,54115,52361,51222,49473,47790,46116,44715,43438,42115,41218,39691,39833,39617,40339,40938,41920,43240,44829,47152,48962,50840,52570,54255,55380,56068,56402,55969,55018,54361,52737,51095,48597,46494,44449,42226,40061,38006,36992,35326,34553,33858,34280,35204,36579,37797,40013,42085,44684,47074,49420,51754,53623,55520,56895,57634,58135,57680,57310,56295,54884,52767,50338,48023,45180,42381,39583,36803,34531,31813,29666,27260,25156,23333,21706,20528,19443,17859,17034,16419,15317,14658,14112,13674,13086,12615,12359,11973,11513,11413,11198,10924,10513,10316,9998,9865,9926,9656,9607,9635,9261,9232,8983,8928,8892,8695,8801,8571,8855,8640,8543,8328,8518,8432,8434,8168,8291,8129,8132,8039,8203,8108,8022,7885,7975,7907,7920,7980,7906,7915,7686,7503,7769,7492,7583,7598,7444,7495,7370,7403,7323,7291,7203,7109,7194,7123,7076,6987,7045,6958,7146,6989,7003,6847,6929,6982,7011,7276,7420,7552,7573,8150,8325,8624,9072,9451,9942,10230,11221,11470,12368,12889,13668,14514,15106,15856,16541,16883,17626,18482,18787,19249,19944,19904,19938,20110,20189,19856,20033,19792,19214,19235,18319,18053,17274,16657,15730,15197,14609,13934,13299,12504,11919,11315,10745,10098,9538,9120,8522,8319,7854,7389,7011,6795,6331,6147,5848,5790,5385,5338,5249,5104,5169,4927,4885,4819,4748,4741,4775,4774,4695,4791,4710,4697,4668,4688,4807,4760,4793,4754,4819,4777,4875,4737,4917,5051,4882,4997,4975,5189,5174,5201,5206,5128,5086,5297,5266,5305,5343,5374,5445,5341,5429,5333,5427,5310,5298,5397,5222,5250,5265,5300,5111,5181,5175,5003,5016,4842,5030,4986,4777,4867,4737,4840,4654,4571,4517,4574,4466,4410,4346,4284,4319,4293,4197,4121,4110,4038,4048,4122,3929,3980,3929,3807,3824,3680,3694,3710,3692,3646,3536,3552,3710,3516,3517,3514,3480,3347,3448,3595,3476,3487,3404,3367,3424,3453,3429,3388,3372,3395,3373,3308,3324,3278,3421,3272,3387,3348,3344,3413,3303,3291,3311,3177,3355,3277,3203,3219,3160,3220,3199,3062,3125,3068,3089,2964,3103,2999,2880,2930,2867,2934,3020,2835,2834,2836,2729,2850,2746,2719,2786,2674,2716,2643,2615,2592,2700,2576,2639,2655,2685,2609,2608,2570,2587,2615,2560,2591,2570,2678,2744,2732,2602,2712,2793,2759,2885,2901,2887,2918,3000,3053,2987,3040,3104,3357,3310,3365,3386,3466,3477,3584,3560,3672,3626,3726,3709,3793,3833,3772,3779,3716,3746,3849,3790,3825,3708,3798,3681,3668,3664,3635,3568,3497,3547,3433,3464,3300,3284,3271,3146,3107,3177,2957,2913,2979,2856,2879,2910,2777,2795,2763,2778,2600,2614,2623,2629,2656,2650,2543,2607,2492,2438,2512,2535,2424,2414,2414,2427,2435,2350,2383,2371,2297,2436,2331,2381,2193,2302,2331,2306,2174,2221,2255,2230,2225,2118,2172,2165,2109,2150,2104,2073,2038,2068,2086,2123,2111,1967,1974,1920,1935,1999,1915,1939,1947,1853,1913,1943,1839,1859,1837,1931,1882,1859,1862,1908,1884,1798,1824,1872,1883,1843,1911,1924,1924,1920,1997,1932,1952,1960,1964,1895,1886,2001,1864,2044,1924,1929,1974,1867,1934,2003,1951,1911,1920,1920,1899,1948,1887,1837,1849,1893,1795,1853,1832,1864,1851,1824,1804,1864,1805,1801,1716,1772,1791,1789,1772,1772,1660,1668,1723,1709,1690,1676,1576,1562,1560,1605,1587,1557,1504,1451,1496,1494,1463,1560,1469,1466,1438,1459,1395,1331,1377,1351,1313,1327,1288,1269,1333,1282,1224,1224,1226,1182,1180,1146,1179,1115,1137,1105,1106,1070,1060,1074,1031,1080,1032,1031,1021,990,962,937,920,921,911,940,890,950,925,874,908,883,878,876,842,882,883,810,891,770,835,876,814,867,849,802,806,769,827,825,816,809,847,780,842,866,886,833,901,870,905,922,969,878,960,1004,1002,1033,1055,1138,1149,1174,1172,1237,1223,1267,1343,1351,1336,1452,1460,1435,1556,1548,1514,1601,1584,1604,1635,1658,1602,1610,1668,1660,1670,1634,1633,1665,1604,1613,1643,1668,1508,1543,1539,1481,1463,1459,1472,1397,1347,1300,1268,1308,1279,1188,1219,1169,1133,1105,1100,1091,1032,1002,1031,972,903,891,852,818,853,795,757,730,754,687,678,687,620,588,594,573,559,539,553,542,541,501,490,498,442,404,443,398,406,371,394,408,355,346,337,319,326,278,303,302,260,315,290,270,295,281,279,270,268,248,250,283,257,272,239,283,269,289,265,250,270,249,283,266,302,307,278,262,289,327,319,289,343,299,326,307,305,320,312,345,356,346,375,407,346,394,375,380,383,382,357,397,412,398,391,372,341,378,367,348,341,324,350,298,313,302,289,279,287,288,296,255,267,269,231,229,194,253,202,190,180,213,188,171,150,146,144,155,162,131,132,150,128,135,120,123,123,142,129,120,110,113,135,116,118,105,122,99,119,88,102,91,109,98,122,99,86,71,81,84,61,60,70,72,46,62,59,53,29,0,0
